Participant ID,Age,County,Marital Status,Education Level,Occupation,Monthly Income,Monthly Savings,Savings Group Member,Owns Business,Business Type,Main Business Challenge,Smartphone Access,Internet Access,Number of Dependents,Monthly Health Expenses,Health Insurance,Caregiving in hours/Week,Training Received
221958,32,Nyeri,Widowed,KCSE,Casual Labour,20209,3900,Yes,No,Agriculture,No Challenge,No,No,1,1253,No,39,No
771155,46,Mombasa,Married,KCSE,Farmer,17372,0,No,No,Agriculture,No Challenge,Yes,Yes,6,1453,Yes,51,No
231932,43,Machakos,Married,Certificate,beauty,17583,1600,Yes,Yes,Agriculture,High Competition,Yes,No,1,1705,No,50,No
465838,33,Kakamega,Married,Graduate,Civil servant,37327,2400,Yes,Yes,Casual jobs,Low Customers,Yes,No,5,1602,No,54,No
359178,65,Wajir,Widowed,KCSE,Small Business,42116,0,No,Yes,food Vendoring,High Taxes,Yes,No,3,1228,Yes,43,No
744167,37,Kisumu,Single,Certificate,beauty,24050,3900,Yes,No,Agriculture,Poor infrastructure,No,No,6,1902,Yes,47,No
210268,30,Kakamega,Married,KCSE,Small Business,26187,3800,Yes,No,Agriculture,No Challenge,Yes,Yes,4,2314,No,39,No
832180,47,Wajir,Divorced,Diploma,Small Business,32874,0,No,No,Agriculture,No Challenge,Yes,Yes,1,1236,Yes,48,No
154886,51,Kakamega,Married,Certificate,Shop Attendant,22410,4300,No,Yes,Agriculture,High Competition,No,No,3,1803,No,59,No
237337,28,Kakamega,Married,Certificate,Shop Attendant,21878,4000,No,No,Agriculture,No Challenge,Yes,Yes,2,2764,No,25,No
621430,49,Kisii,Widowed,KCSE,Small Business,25647,0,No,No,Agriculture,No Challenge,No,No,1,1224,Yes,45,Yes
187498,45,Machakos,Single,KCPE,Farmer,23327,0,No,Yes,fashion,High Taxes,Yes,Yes,2,1545,No,60,No
999159,32,Nakuru,Married,Certificate,Shop Attendant,18311,1000,Yes,No,Agriculture,No Challenge,Yes,Yes,1,1706,No,35,No
275203,35,Wajir,Married,KCSE,Farmer,13137,1300,Yes,No,Agriculture,No Challenge,No,No,2,1416,No,33,No
291335,46,Kisumu,Married,KCSE,Casual Labour,17798,1300,Yes,No,Agriculture,No Challenge,Yes,Yes,6,1839,No,48,No
378167,39,Nairobi,Married,KCSE,Casual Labour,22375,4400,Yes,No,Agriculture,No Challenge,Yes,Yes,3,2333,No,42,No
141090,61,Kakamega,Married,KCSE,Small Business,31720,0,No,No,Agriculture,No Challenge,Yes,Yes,4,1620,Yes,60,No
429365,54,Kakamega,Single,Certificate,Small Business,23686,1300,Yes,No,Agriculture,No Challenge,Yes,Yes,3,1093,No,30,Yes
164820,65,Wajir,Married,KCSE,Farmer,16947,1900,Yes,No,Agriculture,No Challenge,Yes,Yes,6,1923,No,51,Yes
887201,38,Mombasa,Married,KCSE,Vendor,25871,2300,No,Yes,fashion,High Competition,No,No,3,2405,No,54,No
421879,63,Nakuru,Married,KCSE,Farmer,17424,0,No,No,Agriculture,No Challenge,No,No,6,2212,No,20,No
818315,43,Kakamega,Married,Diploma,Shop Attendant,22043,4300,No,No,Agriculture,No Challenge,Yes,Yes,2,1976,No,32,No
427069,41,Narok,Married,Diploma,Civil servant,49957,0,No,Yes,Casual jobs,No Capital,Yes,Yes,5,2179,No,26,No
876997,29,Kisii,Married,KCSE,Farmer,21580,2800,Yes,Yes,Retail,Low Customers,No,No,2,1574,No,59,Yes
299041,30,Nyeri,Married,KCSE,Small Business,21457,0,No,Yes,Agriculture,High Competition,Yes,Yes,3,1757,Yes,26,No
891743,50,Kisii,Married,KCSE,Unemployed,742,1300,Yes,No,Agriculture,No Challenge,No,No,5,1641,No,33,No
203355,43,Nakuru,Married,KCSE,Farmer,19966,1300,Yes,Yes,Retail,Low Customers,Yes,Yes,1,1199,No,45,No
335796,37,Nairobi,Married,Certificate,Shop Attendant,28400,1600,No,Yes,Agriculture,Poor infrastructure,Yes,Yes,2,1495,No,36,No
314176,47,Kisii,Married,KCSE,Small Business,21833,0,No,No,Agriculture,No Challenge,Yes,Yes,8,1771,No,48,No
284779,38,Nyeri,Married,KCSE,Casual Labour,15424,1300,Yes,No,Agriculture,No Challenge,No,No,2,1968,Yes,30,No
447449,46,Nairobi,Widowed,KCSE,Small Business,32320,0,No,No,Agriculture,No Challenge,Yes,Yes,2,1138,Yes,29,No
521909,41,Machakos,Married,Graduate,corperative worker,45898,7300,Yes,No,Agriculture,No Challenge,Yes,Yes,2,2531,Yes,26,Yes
358795,55,Nairobi,Married,Diploma,Civil servant,46447,7200,Yes,No,Agriculture,No Challenge,Yes,Yes,7,1900,Yes,39,Yes
586232,54,Machakos,Married,Certificate,beauty,28486,5500,Yes,Yes,Casual jobs,Low Customers,Yes,Yes,8,2295,Yes,34,No
600186,44,Mombasa,Married,KCSE,Farmer,25955,0,No,No,Agriculture,No Challenge,No,No,4,1429,No,21,No
256730,41,Mombasa,Married,KCSE,Small Business,24831,2200,Yes,No,Agriculture,No Challenge,Yes,Yes,1,1942,Yes,23,No
970910,41,Mombasa,Married,Diploma,Small Business,40217,7400,Yes,Yes,Agriculture,High Taxes,No,No,6,1284,Yes,46,No
484681,54,Kisii,Married,KCSE,Vendor,18881,0,No,Yes,Agriculture,High Competition,Yes,Yes,4,1718,No,22,No
249503,40,Mombasa,Married,KCSE,Unemployed,3971,700,Yes,No,Agriculture,No Challenge,No,No,4,2047,No,20,No
754811,37,Machakos,Married,KCSE,Casual Labour,10663,1700,Yes,No,Agriculture,No Challenge,No,No,3,1991,No,26,No
627035,31,Nairobi,Married,KCSE,Small Business,28042,5100,Yes,No,Agriculture,No Challenge,Yes,Yes,9,1483,No,59,No
748143,43,Wajir,Single,KCSE,Vendor,11605,2200,Yes,No,Agriculture,No Challenge,Yes,Yes,4,1333,Yes,46,No
552366,44,Kakamega,Married,Diploma,Shop Attendant,18530,1300,No,Yes,Casual jobs,Poor infrastructure,Yes,Yes,7,1609,No,53,No
165725,55,Machakos,Married,KCPE,Farmer,12570,1200,Yes,Yes,Agriculture,No Capital,No,No,5,1918,No,22,No
184654,41,Nairobi,Married,Diploma,Civil servant,50814,10000,Yes,No,Agriculture,No Challenge,Yes,Yes,2,2301,Yes,40,No
691723,54,Kakamega,Married,Graduate,Civil servant,54698,5400,Yes,No,Agriculture,No Challenge,Yes,Yes,0,1780,Yes,52,Yes
419030,55,Narok,Married,KCSE,Small Business,27512,5400,Yes,No,Agriculture,No Challenge,Yes,No,7,2346,No,31,No
428947,42,Wajir,Married,KCSE,Unemployed,5333,1000,Yes,Yes,Casual jobs,No Challenge,Yes,Yes,2,1973,No,43,No
655839,43,Narok,Married,Graduate,Small Business,39017,6600,Yes,No,Agriculture,No Challenge,Yes,Yes,4,2721,Yes,33,No
373538,39,Narok,Single,KCSE,Vendor,17555,1000,Yes,No,Agriculture,No Challenge,No,No,4,1764,No,36,No
431236,60,Nairobi,Single,KCSE,Small Business,25669,0,No,No,Agriculture,No Challenge,Yes,Yes,5,2092,No,55,No
628178,33,Nyeri,Married,KCSE,Small Business,28385,3100,Yes,No,Agriculture,No Challenge,Yes,Yes,6,1763,No,39,Yes
665894,60,Kisumu,Married,KCPE,Casual Labour,9307,0,No,Yes,Retail,High Taxes,No,No,4,1411,No,27,No
589492,49,Machakos,Married,KCSE,Vendor,28992,0,No,No,Agriculture,No Challenge,Yes,Yes,1,1299,No,57,No
356840,45,Kisii,Married,Certificate,fashion,22287,0,No,No,Agriculture,No Challenge,No,No,2,1485,Yes,44,No
573254,28,Narok,Married,Certificate,Small Business,27579,0,No,No,Agriculture,No Challenge,Yes,Yes,1,1875,Yes,23,No
449457,44,Mombasa,Married,KCPE,Farmer,24588,0,No,No,Agriculture,No Challenge,No,No,4,2292,Yes,48,Yes
765987,44,Kisii,Married,Diploma,Civil servant,41363,0,No,No,Agriculture,No Challenge,Yes,Yes,1,1376,Yes,22,Yes
370936,35,Nakuru,Single,KCSE,Small Business,21980,1300,No,No,Agriculture,No Challenge,Yes,Yes,4,2523,No,50,No
339931,49,Nyeri,Married,KCSE,Small Business,19934,2400,Yes,Yes,Retail,High Competition,Yes,Yes,2,1749,No,56,No
339629,63,Kisii,Divorced,Graduate,Civil servant,46956,4100,Yes,No,Agriculture,No Challenge,Yes,Yes,2,1780,Yes,29,No
305041,46,Kakamega,Single,KCSE,Casual Labour,7832,0,No,No,Agriculture,No Challenge,No,No,4,1176,No,31,Yes
798361,50,Kisumu,Married,Certificate,Small Business,33388,0,No,No,Agriculture,No Challenge,Yes,Yes,2,2697,Yes,22,No
831912,31,Wajir,Married,KCSE,Unemployed,2915,400,No,No,Agriculture,No Challenge,Yes,Yes,4,1246,No,28,Yes
168148,33,Narok,Single,KCSE,Unemployed,2053,100,Yes,Yes,Agriculture,Poor infrastructure,No,No,0,1949,No,33,No
877089,47,Nyeri,Married,KCSE,Unemployed,1688,0,No,Yes,beauty,High Taxes,No,No,7,1963,No,59,Yes
748531,61,Nyeri,Married,KCSE,Vendor,21514,2700,Yes,No,Agriculture,No Challenge,No,No,4,1689,Yes,38,No
351995,49,Narok,Married,KCSE,Farmer,16014,1500,Yes,No,Agriculture,No Challenge,Yes,Yes,3,2373,No,36,Yes
778843,31,Kisumu,Divorced,KCSE,Farmer,25140,2800,No,No,Agriculture,No Challenge,Yes,Yes,4,1585,No,56,Yes
672843,41,Nairobi,Single,Diploma,Civil servant,38539,0,No,No,Agriculture,No Challenge,Yes,Yes,7,1393,Yes,41,No
356508,46,Kisii,Widowed,KCSE,Small Business,30817,5800,No,No,Agriculture,No Challenge,Yes,No,4,1204,No,40,No
903591,42,Mombasa,Single,Diploma,Shop Attendant,21229,0,No,No,Agriculture,No Challenge,No,No,3,1369,No,50,No
996942,55,Narok,Married,KCSE,Small Business,28328,4300,No,No,Agriculture,No Challenge,Yes,Yes,3,2632,Yes,58,Yes
206530,54,Mombasa,Married,KCSE,Small Business,48253,3800,No,No,Agriculture,No Challenge,Yes,No,5,1561,No,31,No
